MAINPREDIR,MAINPRETYPE,MAINNAME,MAINSUFDIR,MAINSUFTYPE,MAINFULNAME,ALS1PREDIR,ALS1PRETYPE,ALS1NAME,ALS1SUFDIR,ALS1SUFTYPE,ALS1FULNAME,ALS2PREDIR,ALS2PRETYPE,ALS2NAME,ALS2SUFDIR,ALS2SUFTYPE,ALS2FULNAME,ALS3PREDIR,ALS3PRETYPE,ALS3NAME,ALS3SUFDIR,ALS3SUFTYPE,ALS3FULNAME,OWNERSHIP,MAINTAINEDBY,FIPSCODE,NUMBLANES,FUNCTIONCODE,SURFACE,SURFACETYPE,ONEWAY,ONEWAYDIR,PAVSEGID,STATUS,COMMENTS,NOTES,ADDRNG_L_F,ADDRNG_L_T,ADDRNG_R_F,ADDRNG_R_T,CITY_L,CITY_R,COUNTY_L,COUNTY_R,STATE_L,STATE_R,ZIP_L,ZIP_R,COUNTRYCODE,BLOCKID_L,BLOCKID_R,CREATED_DATE,LAST_UPDATED,LAST_EDITOR,CURVE,ROAD_NUMB,CARTO_SYMB,ROW_WIDTH,PAVE_WIDTH,Enabled,GlobalID,created_user,last_edited_user,last_edited_date,Shape_Length
,,HUDSON AURORA,,RD,HUDSON AURORA RD,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,SV,SV,LYN,LYN,NV,NV,89430,89430,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{00519D96-5D5C-4440-868C-57E05B8164B5},,,,21.984675117513014
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,WEL,WEL,LYN,LYN,NV,NV,89444,89444,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,DIRT,,,1,{00630252-636E-4BE7-8F4B-02C8D2259C0B},,,,3049.036435105942473
,,SECOND SOUTH,,ST,SECOND SOUTH ST,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,1,3,YER,YER,LYN,LYN,NV,NV,89447,89447,US,,,6/9/2021 18:27,6/9/2021 19:41,TSPROULE,,,LOCAL,,,1,{00B2101A-1ACE-4133-9A32-3E3A9A1F61E6},,,,369.997316672577995
,,RIVER VISTA,,DR,RIVER VISTA DR,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1,11,2,10,DAY,DAY,LYN,LYN,NV,NV,89403,89403,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{00C987E3-8290-4EC7-96BA-C71A268BA92C},,,,543.910685463828827
,,DAY,,LN,DAY LN,,,,,,,,,,,,,,,,,,,,NM,,,M,,,0,,,,,,41,99,40,98,SV,SV,LYN,LYN,NV,NV,89430,89430,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{00EA8BDA-D09B-408A-B541-F30BE6B76C38},,,,3283.204215873538033
,,ROSEBUD,,WAY,ROSEBUD WAY,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1001,1025,1000,1024,YER,YER,LYN,LYN,NV,NV,89447,89447,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{0143D5CF-B1E9-4B3C-A9E0-38B2FB5A42A9},,,,514.010246357594724
,,DESERT VIEW,,DR,DESERT VIEW DR,,,,,,,,,,,,,,,,,,,,NM,,,M,,,0,,,,,,30,68,31,69,SV,SV,LYN,LYN,NV,NV,89430,89430,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{01AD5E91-7769-4E23-A3EB-6E38A9586FB4},,,,2144.943419548991642
,,HARDIE,,LN,HARDIE LN,,,,,,,,,,,,,,,,,,,,M,,,A,,,0,,,,,,77,113,76,114,SV,SV,LYN,LYN,NV,NV,89430,89430,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{01BDA3F6-33DB-4264-BD3B-BA2836DB6AFA},,,,1990.736881139945126
,,GRANT VIEW,,DR,GRANT VIEW DR,,,,,,,,,,,,,,,,,,,,,,,C,,,0,,,,,,11,99,10,98,SV,SV,LYN,LYN,NV,NV,89430,89430,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{01D2DFC9-B365-46A4-BD58-05E43CFC454B},,,,3925.667780937640600
,,MT GRANT,,DR,MT GRANT DR,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,270,278,271,279,SV,SV,LYN,LYN,NV,NV,89430,89430,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{020B3EDD-6FCA-45F7-9253-35701D7E9EB5},,,,374.446262104775599
